ID_COLETADO,ID_FORNECIDO,Cota_fornecida_m,Cota_coletada_PE3D_m,Diferenca_PE3D_m,Residuo_XY_m,Observacao
88,71,126.1780,126.1783,0.0003,0.000283,Pareamento inicial por translação; confirmar no QGIS.
89,78,126.3000,126.3000,0.0000,0.000671,Pareamento inicial por translação; confirmar no QGIS.
90,72,126.2530,126.2525,-0.0005,0.000762,Pareamento inicial por translação; confirmar no QGIS.
91,73,126.4100,126.4100,0.0000,0.000721,Pareamento inicial por translação; confirmar no QGIS.
92,74,126.5080,126.5075,-0.0005,0.000640,Pareamento inicial por translação; confirmar no QGIS.
93,75,126.5700,126.5700,0.0000,0.000583,Pareamento inicial por translação; confirmar no QGIS.
94,76,126.5920,126.5920,0.0000,0.000447,Pareamento inicial por translação; confirmar no QGIS.
95,77,126.5050,126.5050,0.0000,0.000412,Pareamento inicial por translação; confirmar no QGIS.
96,79,125.8800,125.8800,0.0000,0.000400,Pareamento inicial por translação; confirmar no QGIS.
97,15,152.0600,152.0595,-0.0005,0.000316,Pareamento inicial por translação; confirmar no QGIS.
98,16,151.8200,151.8200,0.0000,0.000316,Pareamento inicial por translação; confirmar no QGIS.
99,17,151.6150,151.6150,0.0000,0.000600,Pareamento inicial por translação; confirmar no QGIS.
100,18,151.6900,151.6900,0.0000,0.000316,Pareamento inicial por translação; confirmar no QGIS.
101,19,151.8750,151.8750,0.0000,0.000412,Pareamento inicial por translação; confirmar no QGIS.
102,20,152.1950,152.1950,0.0000,0.000283,Pareamento inicial por translação; confirmar no QGIS.
103,21,152.5680,152.5675,-0.0005,0.000632,Pareamento inicial por translação; confirmar no QGIS.
104,22,153.2100,153.2100,0.0000,0.000316,Pareamento inicial por translação; confirmar no QGIS.
105,23,153.9500,153.9500,0.0000,0.000539,Pareamento inicial por translação; confirmar no QGIS.
106,24,154.5180,154.5175,-0.0005,0.000608,Pareamento inicial por translação; confirmar no QGIS.
107,25,154.6180,154.6175,-0.0005,0.000200,Pareamento inicial por translação; confirmar no QGIS.
108,26,154.3400,154.3400,0.0000,0.000608,Pareamento inicial por translação; confirmar no QGIS.
109,27,153.8500,153.8500,0.0000,0.000539,Pareamento inicial por translação; confirmar no QGIS.
110,28,153.2670,153.2667,-0.0003,0.000700,Pareamento inicial por translação; confirmar no QGIS.
111,29,152.3600,152.3600,0.0000,0.000141,Pareamento inicial por translação; confirmar no QGIS.
112,30,151.4800,151.4800,0.0000,0.000224,Pareamento inicial por translação; confirmar no QGIS.
113,31,150.8330,150.8325,-0.0005,0.000447,Pareamento inicial por translação; confirmar no QGIS.
114,32,150.1940,150.1940,0.0000,0.000700,Pareamento inicial por translação; confirmar no QGIS.
115,33,149.5700,149.5700,0.0000,0.000000,Pareamento inicial por translação; confirmar no QGIS.
116,34,148.8950,148.8950,0.0000,0.000316,Pareamento inicial por translação; confirmar no QGIS.
117,35,147.8650,147.8650,0.0000,0.000412,Pareamento inicial por translação; confirmar no QGIS.
118,36,147.0350,147.0350,0.0000,0.000806,Pareamento inicial por translação; confirmar no QGIS.
119,37,146.3100,146.3100,0.0000,0.000721,Pareamento inicial por translação; confirmar no QGIS.
120,41,142.6950,142.6950,0.0000,0.000583,Pareamento inicial por translação; confirmar no QGIS.
121,42,141.4180,141.4175,-0.0005,0.000632,Pareamento inicial por translação; confirmar no QGIS.
122,43,140.3000,140.3000,0.0000,0.000707,Pareamento inicial por translação; confirmar no QGIS.
123,44,139.3090,139.3086,-0.0004,0.000224,Pareamento inicial por translação; confirmar no QGIS.
124,45,138.1600,138.1600,0.0000,0.000721,Pareamento inicial por translação; confirmar no QGIS.
125,46,137.1080,137.1075,-0.0005,0.000510,Pareamento inicial por translação; confirmar no QGIS.
