Estaca,Estacao_m,X_m,Y_m,Cota_interpolada_m,Azimute_eixo_deg
0+000.00,0.0000,250844.8760,9133802.6720,157.6500,33.330126
0+020.00,20.0000,250855.8652,9133819.3824,157.6350,33.332520
0+040.00,40.0000,250866.8552,9133836.0923,157.4000,33.328552
0+060.00,60.0000,250877.8440,9133852.8030,157.1560,33.328552
0+080.00,80.0000,250885.1224,9133871.4262,156.9152,11.753215
0+100.00,100.0000,250889.1963,9133891.0069,156.6400,11.753798
0+120.00,120.0000,250893.2514,9133910.5909,156.2399,8.582659
0+140.00,140.0000,250896.2238,9133930.3686,155.9472,6.652765
0+160.00,160.0000,250898.5408,9133950.2339,155.4140,6.652433
0+180.00,180.0000,250900.8549,9133970.0996,154.8187,6.217441
0+200.00,200.0000,250903.0191,9133989.9822,154.2037,5.929233
0+220.00,220.0000,250905.0851,9134009.8752,153.5925,5.929233
0+240.00,240.0000,250907.1541,9134029.7679,152.9197,6.387648
0+260.00,260.0000,250909.3803,9134049.6436,152.3643,6.571765
0+280.00,280.0000,250911.6693,9134069.5121,152.0556,6.572093
0+300.00,300.0000,250913.9361,9134089.3826,151.8162,3.113858
0+320.00,320.0000,250915.0177,9134109.3533,151.6164,2.387017
0+340.00,340.0000,250915.8507,9134129.3360,151.6935,2.384274
0+360.00,360.0000,250916.6738,9134149.3189,151.8810,1.031419
0+380.00,380.0000,250917.0323,9134169.3157,152.2021,0.796440
0+400.00,400.0000,250917.3103,9134189.3138,152.5802,0.799304
0+420.00,420.0000,250917.6063,9134209.3112,153.2240,3.374537
0+440.00,440.0000,250918.7879,9134229.2762,153.9609,4.025607
0+460.00,460.0000,250920.1920,9134249.2269,154.5199,4.028264
0+480.00,480.0000,250921.5778,9134269.1783,154.6127,1.169315
0+500.00,500.0000,250921.9809,9134289.1742,154.3304,0.421116
0+520.00,520.0000,250922.1279,9134309.1737,153.8386,0.421137
0+540.00,540.0000,250922.2760,9134329.1732,153.2493,0.593020
0+560.00,560.0000,250922.4830,9134349.1721,152.3428,0.590155
0+580.00,580.0000,250922.6890,9134369.1710,151.4674,0.590155
0+600.00,600.0000,250922.9025,9134389.1698,150.8205,1.696223
0+620.00,620.0000,250923.4947,9134409.1610,150.1818,1.713404
0+640.00,640.0000,250924.0926,9134429.1521,149.5568,1.710541
0+660.00,660.0000,250924.7134,9134449.1418,148.8749,5.200397
0+680.00,680.0000,250926.5322,9134469.0588,147.8484,6.064638
0+700.00,700.0000,250928.6452,9134488.9469,147.0205,6.067486
0+720.00,720.0000,250930.8893,9134508.7980,146.2952,25.573190
0+740.00,740.0000,250939.5737,9134526.8115,145.5508,30.405119
0+760.00,760.0000,250949.6959,9134544.0609,144.6905,30.407590
0+780.00,780.0000,250959.8106,9134561.3146,143.5496,29.609830
0+800.00,800.0000,250969.6765,9134578.7116,142.6509,28.102652
0+820.00,820.0000,250979.0976,9134596.3537,141.3794,28.102652
0+840.00,840.0000,250988.5186,9134613.9958,140.2657,28.105179
0+860.00,860.0000,250997.9691,9134631.6213,139.2692,30.834036
0+880.00,880.0000,251008.3224,9134648.7214,138.1195,40.203554
0+900.00,900.0000,251021.2325,9134663.9965,137.0875,40.203554
0+920.00,920.0000,251034.0773,9134679.3212,136.5628,34.091482
0+940.00,940.0000,251045.1604,9134695.9563,136.2420,25.124886
0+960.00,960.0000,251053.5048,9134714.1185,135.8512,15.488903
0+980.00,980.0000,251058.7596,9134733.4123,135.3501,10.763258
1+000.00,1000.0000,251062.4946,9134753.0605,134.9895,10.760444
1+020.00,1020.0000,251066.2287,9134772.7088,134.7916,10.763258
1+040.00,1040.0000,251069.7986,9134792.3752,134.5439,1.899675
1+060.00,1060.0000,251070.1568,9134812.3330,134.3391,346.381560
1+080.00,1080.0000,251065.2867,9134831.7213,134.1318,339.540853
1+100.00,1100.0000,251058.2959,9134850.4598,133.7395,339.542536
1+120.00,1120.0000,251051.2063,9134869.1570,133.4361,335.170615
1+140.00,1140.0000,251042.7946,9134887.3020,132.9435,334.576561
1+160.00,1160.0000,251034.1344,9134905.3272,132.2640,331.216445
1+180.00,1180.0000,251024.4989,9134922.8531,131.2600,330.961534
1+200.00,1200.0000,251014.7909,9134940.3389,130.1819,330.961534
1+220.00,1220.0000,251005.0831,9134957.8249,128.8391,330.964039
1+240.00,1240.0000,250995.3758,9134975.3111,128.0148,330.961534
1+260.00,1260.0000,250985.6679,9134992.7970,127.6207,330.961534
1+280.00,1280.0000,250975.9599,9135010.2829,127.2680,330.960144
1+300.00,1300.0000,250966.2516,9135027.7685,126.9580,330.961534
1+320.00,1320.0000,250956.5327,9135045.2483,126.6638,330.455900
1+340.00,1340.0000,250946.6435,9135062.6319,126.5731,329.182654
1+360.00,1360.0000,250936.3974,9135079.8080,126.4409,329.182654
1+380.00,1380.0000,250926.1514,9135096.9841,126.3842,329.182654
1+400.00,1400.0000,250915.9053,9135114.1602,126.1833,329.180194
1+420.00,1420.0000,250905.6585,9135131.3358,126.2642,329.182654
1+440.00,1440.0000,250895.4125,9135148.5119,126.4170,329.182654
1+460.00,1460.0000,250885.1665,9135165.6881,126.5124,329.184122
1+480.00,1480.0000,250874.9208,9135182.8644,126.5716,329.182654
1+500.00,1500.0000,250864.6747,9135200.0405,126.5858,329.182654
1+520.00,1520.0000,250854.4748,9135217.2429,126.4904,331.319116
1+540.00,1540.0000,250844.8811,9135234.7917,126.2701,331.544791
1+560.00,1560.0000,250837.4328,9135251.3822,125.8540,79.485443
1+580.00,1580.0000,250856.8711,9135255.6702,125.5183,61.530407
1+600.00,1600.0000,250874.4956,9135265.1202,125.4561,64.014050
1+620.00,1620.0000,250892.4736,9135273.8833,125.6990,64.014050
1+640.00,1640.0000,250910.4394,9135282.6710,125.8971,63.286305
1+660.00,1660.0000,250928.2815,9135291.7064,125.5542,61.960204
1+680.00,1680.0000,250945.9550,9135301.0675,125.4049,63.163249
1+700.00,1700.0000,250963.8290,9135310.0390,125.2029,64.843095
1+717.82,1717.8170,250979.9560,9135317.6130,124.9000,64.843095
