ID_COLETADO,X_LOCAL_m,Y_LOCAL_m,Z_PE3D_m,X_GLOBAL_ESTIMADO_m,Y_GLOBAL_ESTIMADO_m,ID_FORNECIDO_MATCH,RESIDUO_XY_m,Z_FORNECIDA_m,DIFERENCA_Z_m
88,329.6015,1582.8514,126.1783,250916.6348,9135112.9372,71,0.000283,126.1780,0.0003
89,258.5273,1703.4529,126.3000,250845.5606,9135233.5387,78,0.000671,126.3000,0.0000
90,319.3554,1600.0275,126.2525,250906.3887,9135130.1133,72,0.000762,126.2530,-0.0005
91,309.1093,1617.2036,126.4100,250896.1426,9135147.2894,73,0.000721,126.4100,0.0000
92,298.8632,1634.3796,126.5075,250885.8965,9135164.4654,74,0.000640,126.5080,-0.0005
93,288.6170,1651.5557,126.5700,250875.6503,9135181.6415,75,0.000583,126.5700,0.0000
94,278.3709,1668.7318,126.5920,250865.4042,9135198.8176,76,0.000447,126.5920,0.0000
95,268.1248,1685.9078,126.5050,250855.1581,9135215.9936,77,0.000412,126.5050,0.0000
96,248.9977,1721.0366,125.8800,250836.0310,9135251.1224,79,0.000400,125.8800,0.0000
97,324.5936,539.0589,152.0595,250911.6269,9134069.1447,15,0.000316,152.0600,-0.0005
98,326.8826,558.9275,151.8200,250913.9159,9134089.0133,16,0.000316,151.8200,0.0000
99,327.9693,578.8902,151.6150,250915.0026,9134108.9760,17,0.000600,151.6150,0.0000
100,328.8016,598.8729,151.6900,250915.8349,9134128.9587,18,0.000316,151.6900,0.0000
101,329.6338,618.8556,151.8750,250916.6671,9134148.9414,19,0.000412,151.8750,0.0000
102,329.9939,638.8514,152.1950,250917.0272,9134168.9372,20,0.000283,152.1950,0.0000
103,330.2723,658.8494,152.5675,250917.3056,9134188.9352,21,0.000632,152.5680,-0.0005
104,330.5508,678.8475,153.2100,250917.5841,9134208.9333,22,0.000316,153.2100,0.0000
105,331.7279,698.8077,153.9500,250918.7612,9134228.8935,23,0.000539,153.9500,0.0000
106,333.1323,718.7583,154.5175,250920.1656,9134248.8441,24,0.000608,154.5180,-0.0005
107,334.5367,738.7090,154.6175,250921.5700,9134268.7948,25,0.000200,154.6180,-0.0005
108,334.9453,758.6983,154.3400,250921.9786,9134288.7841,26,0.000608,154.3400,0.0000
109,335.0915,778.6977,153.8500,250922.1248,9134308.7835,27,0.000539,153.8500,0.0000
110,335.2394,798.6972,153.2667,250922.2727,9134328.7830,28,0.000700,153.2670,-0.0003
111,335.4456,818.6961,152.3600,250922.4789,9134348.7819,29,0.000141,152.3600,0.0000
112,335.6518,838.6950,151.4800,250922.6851,9134368.7808,30,0.000224,151.4800,0.0000
113,335.8581,858.6940,150.8325,250922.8914,9134388.7798,31,0.000447,150.8330,-0.0005
114,336.4504,878.6852,150.1940,250923.4837,9134408.7710,32,0.000700,150.1940,0.0000
115,337.0477,898.6762,149.5700,250924.0810,9134428.7620,33,0.000000,149.5700,0.0000
116,337.6450,918.6673,148.8950,250924.6783,9134448.7531,34,0.000316,148.8950,0.0000
117,339.4566,938.5758,147.8650,250926.4899,9134468.6616,35,0.000412,147.8650,0.0000
118,341.5704,958.4638,147.0350,250928.6037,9134488.5496,36,0.000806,147.0350,0.0000
119,343.6843,978.3518,146.3100,250930.7176,9134508.4376,37,0.000721,146.3100,0.0000
120,382.3182,1048.0159,142.6950,250969.3515,9134578.1017,41,0.000583,142.6950,0.0000
121,391.7393,1065.6580,141.4175,250978.7726,9134595.7438,42,0.000632,141.4180,-0.0005
122,401.1604,1083.3001,140.3000,250988.1937,9134613.3859,43,0.000707,140.3000,0.0000
123,410.5815,1100.9421,139.3086,250997.6148,9134631.0279,44,0.000224,139.3090,-0.0004
124,420.7933,1118.0478,138.1600,251007.8266,9134648.1336,45,0.000721,138.1600,0.0000
125,433.7032,1133.3231,137.1075,251020.7365,9134663.4089,46,0.000510,137.1080,-0.0005
126,352.1926,996.1328,145.5800,250939.2259,9134526.2186,38,0.000412,145.5800,0.0000
127,446.6131,1148.5984,136.5750,251033.6464,9134678.6842,47,0.000447,136.5750,0.0000
128,362.3152,1013.3820,144.7300,250949.3485,9134543.4678,39,0.000539,144.7300,0.0000
129,457.7300,1165.0232,136.2600,251044.7633,9134695.1090,48,0.000300,136.2600,0.0000
130,372.4378,1030.6311,143.5800,250959.4711,9134560.7169,40,0.000141,143.5800,0.0000
131,466.2224,1183.1307,135.8750,251053.2557,9134713.2165,49,0.000860,135.8750,0.0000
132,471.5258,1202.2709,135.3700,251058.5591,9134732.3567,50,0.000316,135.3700,0.0000
133,475.2606,1221.9191,135.0000,251062.2939,9134752.0049,51,0.000141,135.0000,0.0000
134,478.9955,1241.5672,134.8050,251066.0288,9134771.6530,52,0.000800,134.8050,0.0000
135,482.7303,1261.2154,134.5550,251069.7636,9134791.3012,53,0.000632,134.5550,0.0000
136,483.3912,1281.1445,134.3500,251070.4245,9134811.2303,54,0.000583,134.3500,0.0000
137,478.7469,1300.3132,134.1600,251065.7802,9134830.3990,55,0.000200,134.1600,0.0000
138,471.7563,1319.0517,133.7600,251058.7896,9134849.1375,56,0.000781,133.7600,0.0000
139,464.7657,1337.7902,133.4700,251051.7990,9134867.8760,57,0.000000,133.4700,0.0000
140,456.3710,1355.9344,132.9900,251043.4043,9134886.0202,58,0.000361,132.9900,0.0000
141,447.7846,1373.9974,132.3350,251034.8179,9134904.0832,59,0.000224,132.3350,0.0000
142,438.1562,1391.5243,131.3350,251025.1895,9134921.6101,60,0.000510,131.3350,0.0000
143,428.4483,1409.0102,130.2800,251015.4816,9134939.0960,61,0.000600,130.2800,0.0000
144,418.7404,1426.4960,128.9000,251005.7737,9134956.5818,62,0.000728,128.9000,0.0000
145,409.0325,1443.9819,128.0425,250996.0658,9134974.0677,63,0.000361,128.0430,-0.0005
146,399.3246,1461.4678,127.6460,250986.3579,9134991.5536,64,0.000412,127.6460,0.0000
147,315.9477,459.5287,154.2150,250902.9810,9133989.6145,11,0.000500,154.2150,0.0000
148,318.0139,479.4217,153.6050,250905.0472,9134009.5075,12,0.000539,153.6050,0.0000
149,320.0801,499.3147,152.9300,250907.1134,9134029.4005,13,0.000640,152.9300,0.0000
150,322.3045,519.1903,152.3700,250909.3378,9134049.2761,14,0.000224,152.3700,0.0000
151,257.8427,272.5862,157.6500,250844.8760,9133802.6720,1,0.000000,157.6500,0.0000
152,268.8323,289.2964,157.6350,250855.8656,9133819.3822,2,0.000632,157.6350,0.0000
153,279.8218,306.0066,157.4000,250866.8551,9133836.0924,3,0.000412,157.4000,0.0000
154,290.8113,322.7168,157.1560,250877.8446,9133852.8026,4,0.000721,157.1560,0.0000
155,298.0182,340.9970,156.9200,250885.0515,9133871.0828,5,0.000539,156.9200,0.0000
156,302.0920,360.5777,156.6467,250889.1253,9133890.6635,6,0.000583,156.6470,-0.0003
157,306.1658,380.1585,156.2450,250893.1991,9133910.2443,7,0.000316,156.2450,0.0000
