ID,X_m,Y_m,Z_m,Estacao_m
1,250844.8760,9133802.6720,157.6500,0.0000
2,250855.8650,9133819.3820,157.6350,19.9996
3,250866.8550,9133836.0920,157.4000,39.9997
4,250877.8440,9133852.8030,157.1560,60.0001
5,250885.0510,9133871.0830,156.9200,79.6495
6,250889.1250,9133890.6640,156.6470,99.6498
7,250893.1990,9133910.2440,156.2450,119.6491
8,250896.1810,9133930.0020,155.9570,139.6309
9,250898.4980,9133949.8670,155.4250,159.6306
10,250900.8150,9133969.7330,154.8300,179.6312
11,250902.9810,9133989.6150,154.2150,199.6309
12,250905.0470,9134009.5080,153.6050,219.6309
13,250907.1130,9134029.4010,152.9300,239.6309
14,250909.3380,9134049.2760,152.3700,259.6300
15,250911.6270,9134069.1450,152.0600,279.6304
16,250913.9160,9134089.0130,151.8200,299.6298
17,250915.0020,9134108.9760,151.6150,319.6224
18,250915.8350,9134128.9590,151.6900,339.6227
19,250916.6670,9134148.9410,151.8750,359.6220
20,250917.0270,9134168.9370,152.1950,379.6213
21,250917.3050,9134188.9350,152.5680,399.6212
22,250917.5840,9134208.9330,153.2100,419.6212
23,250918.7610,9134228.8940,153.9500,439.6168
24,250920.1650,9134248.8440,154.5180,459.6162
25,250921.5700,9134268.7950,154.6180,479.6166
26,250921.9780,9134288.7840,154.3400,499.6097
27,250922.1250,9134308.7840,153.8500,519.6103
28,250922.2720,9134328.7830,153.2670,539.6098
29,250922.4790,9134348.7820,152.3600,559.6099
30,250922.6850,9134368.7810,151.4800,579.6100
31,250922.8910,9134388.7800,150.8330,599.6100
32,250923.4830,9134408.7710,150.1940,619.6098
33,250924.0810,9134428.7620,149.5700,639.6097
34,250924.6780,9134448.7530,148.8950,659.6096
35,250926.4900,9134468.6620,147.8650,679.6009
36,250928.6030,9134488.5500,147.0350,699.6009
37,250930.7170,9134508.4380,146.3100,719.6009
38,250939.2260,9134526.2190,145.5800,739.3130
39,250949.3480,9134543.4680,144.7300,759.3126
40,250959.4710,9134560.7170,143.5800,779.3126
41,250969.3510,9134578.1020,142.6950,799.3090
42,250978.7720,9134595.7440,141.4180,819.3088
43,250988.1930,9134613.3860,140.3000,839.3087
44,250997.6150,9134631.0280,139.3090,859.3091
45,251007.8260,9134648.1340,138.1600,879.2309
46,251020.7360,9134663.4090,137.1080,899.2308
47,251033.6460,9134678.6840,136.5750,919.2306
48,251044.7630,9134695.1090,136.2600,939.0641
49,251053.2550,9134713.2170,135.8750,959.0645
50,251058.5590,9134732.3570,135.3700,978.9258
51,251062.2940,9134752.0050,135.0000,998.9256
52,251066.0280,9134771.6530,134.8050,1018.9253
53,251069.7630,9134791.3010,134.5550,1038.9252
54,251070.4240,9134811.2300,134.3500,1058.8651
55,251065.7800,9134830.3990,134.1600,1078.5886
56,251058.7890,9134849.1380,133.7600,1098.5893
57,251051.7990,9134867.8760,133.4700,1118.5886
58,251043.4040,9134886.0200,132.9900,1138.5806
59,251034.8180,9134904.0830,132.3350,1158.5804
60,251025.1890,9134921.6100,131.3350,1178.5782
61,251015.4810,9134939.0960,130.2800,1198.5783
62,251005.7730,9134956.5820,128.9000,1218.5785
63,250996.0660,9134974.0680,128.0430,1238.5781
64,250986.3580,9134991.5540,127.6460,1258.5783
65,250976.6500,9135009.0400,127.2900,1278.5784
66,250966.9420,9135026.5250,126.9800,1298.5777
67,250957.2340,9135044.0110,126.6700,1318.5778
68,250947.3730,9135061.4090,126.5830,1338.5760
69,250937.1270,9135078.5850,126.4440,1358.5759
70,250926.8810,9135095.7610,126.4000,1378.5758
71,250916.6350,9135112.9370,126.1780,1398.5757
72,250906.3880,9135130.1130,126.2530,1418.5761
73,250896.1420,9135147.2890,126.4100,1438.5760
74,250885.8960,9135164.4650,126.5080,1458.5759
75,250875.6500,9135181.6420,126.5700,1478.5766
76,250865.4040,9135198.8180,126.5920,1498.5765
77,250855.1580,9135215.9940,126.5050,1518.5764
78,250845.5600,9135233.5390,126.3000,1538.5751
79,250836.0310,9135251.1220,125.8800,1558.5742
80,250854.9640,9135254.6360,125.5290,1577.8306
81,250872.5420,9135264.1680,125.4300,1597.8267
82,250890.5200,9135272.9310,125.6700,1617.8266
83,250908.4980,9135281.6940,125.9370,1637.8266
84,250926.3600,9135290.6830,125.5700,1657.8229
85,250944.0130,9135300.0850,125.4250,1677.8236
86,250961.8530,9135309.1110,125.2400,1697.8169
87,250979.9560,9135317.6130,124.9000,1717.8170
