De,Para,Estacao_de_m,Azimute_deg,Distancia_m,Cota_de_m,Cota_para_m,Delta_Z_m,Declividade_pct
1,2,0.0000,33.330126,19.9996,157.6500,157.6350,-0.0150,-0.0750
2,3,19.9996,33.332520,20.0001,157.6350,157.4000,-0.2350,-1.1750
3,4,39.9997,33.328552,20.0004,157.4000,157.1560,-0.2440,-1.2200
4,5,60.0001,21.517137,19.6494,157.1560,156.9200,-0.2360,-1.2011
5,6,79.6495,11.753215,20.0003,156.9200,156.6470,-0.2730,-1.3650
6,7,99.6498,11.753798,19.9993,156.6470,156.2450,-0.4020,-2.0101
7,8,119.6491,8.582659,19.9818,156.2450,155.9570,-0.2880,-1.4413
8,9,139.6309,6.652765,19.9997,155.9570,155.4250,-0.5320,-2.6600
9,10,159.6306,6.652433,20.0007,155.4250,154.8300,-0.5950,-2.9749
10,11,179.6312,6.217441,19.9996,154.8300,154.2150,-0.6150,-3.0751
11,12,199.6309,5.929233,20.0000,154.2150,153.6050,-0.6100,-3.0500
12,13,219.6309,5.929233,20.0000,153.6050,152.9300,-0.6750,-3.3750
13,14,239.6309,6.387648,19.9992,152.9300,152.3700,-0.5600,-2.8001
14,15,259.6300,6.571765,20.0004,152.3700,152.0600,-0.3100,-1.5500
15,16,279.6304,6.572093,19.9994,152.0600,151.8200,-0.2400,-1.2000
16,17,299.6298,3.113858,19.9925,151.8200,151.6150,-0.2050,-1.0254
17,18,319.6224,2.387017,20.0004,151.6150,151.6900,0.0750,0.3750
18,19,339.6227,2.384274,19.9993,151.6900,151.8750,0.1850,0.9250
19,20,359.6220,1.031419,19.9992,151.8750,152.1950,0.3200,1.6001
20,21,379.6213,0.796440,19.9999,152.1950,152.5680,0.3730,1.8650
21,22,399.6212,0.799304,19.9999,152.5680,153.2100,0.6420,3.2100
22,23,419.6212,3.374537,19.9957,153.2100,153.9500,0.7400,3.7008
23,24,439.6168,4.025607,19.9993,153.9500,154.5180,0.5680,2.8401
24,25,459.6162,4.028264,20.0004,154.5180,154.6180,0.1000,0.5000
25,26,479.6166,1.169315,19.9932,154.6180,154.3400,-0.2780,-1.3905
26,27,499.6097,0.421116,20.0005,154.3400,153.8500,-0.4900,-2.4499
