Estacao_m,Estaca,Offset_m,Lado,X_PE3D_alvo_m,Y_PE3D_alvo_m,Cota_eixo_m,Cota_PE3D_extraida_m,Diferenca_PE3D_eixo_m
0.00,0+000.00,-10.00,Esquerda,250836.5208,9133808.1666,157.6500,,
0.00,0+000.00,0.00,Eixo,250844.8760,9133802.6720,157.6500,,
0.00,0+000.00,10.00,Direita,250853.2312,9133797.1774,157.6500,,
500.00,0+500.00,-10.00,Esquerda,250911.9811,9134289.2477,154.3304,,
500.00,0+500.00,0.00,Eixo,250921.9809,9134289.1742,154.3304,,
500.00,0+500.00,10.00,Direita,250931.9806,9134289.1007,154.3304,,
1000.00,1+000.00,-10.00,Esquerda,251052.6704,9134754.9275,134.9895,,
1000.00,1+000.00,0.00,Eixo,251062.4946,9134753.0605,134.9895,,
1000.00,1+000.00,10.00,Direita,251072.3187,9134751.1934,134.9895,,
1500.00,1+500.00,-10.00,Esquerda,250856.0867,9135194.9175,126.5858,,
1500.00,1+500.00,0.00,Eixo,250864.6747,9135200.0405,126.5858,,
1500.00,1+500.00,10.00,Direita,250873.2628,9135205.1635,126.5858,,
