ID,X,Y,Z,CODIGO,DESCRICAO,LINHA_ID,ORDEM,OBSERVACAO
1,289543.125,9102345.521,24.32,GCP,PONTO_CONTROLE,,,"Marco estável junto ao acesso"
2,289550.328,9102352.781,24.87,ED,EDIFICACAO,ED01,1,"Canto sudoeste"
3,289565.721,9102360.115,25.13,ED,EDIFICACAO,ED01,2,"Canto sudeste"
4,289578.402,9102348.900,24.61,ED,EDIFICACAO,ED01,3,"Canto nordeste"
5,289560.774,9102337.640,24.58,ED,EDIFICACAO,ED01,4,"Canto noroeste"
6,289543.125,9102345.521,24.32,PV,POSTE,,,"Poste junto ao acesso principal"
7,289552.910,9102340.225,24.45,PV,POSTE,,,"Poste de iluminação"
8,289570.840,9102339.510,24.28,PV,POSTE,,,"Poste de iluminação"
9,289583.600,9102355.220,24.72,ARV,ARVORE,,,"Árvore de pequeno porte"
10,289574.160,9102369.840,25.40,ARV,ARVORE,,,"Árvore junto ao limite"
11,289548.420,9102372.330,25.05,ARV,ARVORE,,,"Árvore junto à calçada"
12,289536.880,9102361.740,24.66,BL,BOCA_DE_LOBO,,,"Grelha de drenagem"
13,289542.760,9102355.860,24.55,BL,BOCA_DE_LOBO,,,"Grelha de drenagem"
14,289529.500,9102342.300,24.10,MC,MEIO_FIO,MC01,1,"Início da linha"
15,289543.125,9102345.521,24.32,MC,MEIO_FIO,MC01,2,"Vértice junto ao acesso"
16,289560.300,9102354.900,24.62,MC,MEIO_FIO,MC01,3,"Vértice intermediário"
17,289578.900,9102363.720,25.02,MC,MEIO_FIO,MC01,4,"Vértice junto à edificação"
18,289591.420,9102357.100,24.80,MC,MEIO_FIO,MC01,5,"Fim da linha"
19,289529.500,9102342.300,24.10,MC,MEIO_FIO,MC02,1,"Linha transversal"
20,289536.880,9102361.740,24.66,MC,MEIO_FIO,MC02,2,"Linha transversal"
21,289552.910,9102340.225,24.45,SAR,SARJETA,SAR01,1,"Sarjeta junto ao meio-fio"
22,289570.840,9102339.510,24.28,SAR,SARJETA,SAR01,2,"Sarjeta junto ao meio-fio"
23,289588.210,9102344.680,24.50,SAR,SARJETA,SAR01,3,"Sarjeta junto ao acesso"
24,289600.000,9102360.000,25.10,GCP,PONTO_CONTROLE,,,"Controle independente"
25,289612.500,9102375.000,25.60,GCP,PONTO_CONTROLE,,,"Controle independente"
26,289620.000,9102380.000,25.90,ED,EDIFICACAO,ED02,1,"Edificação auxiliar"
27,289632.400,9102370.200,25.70,ED,EDIFICACAO,ED02,2,"Edificação auxiliar"
28,289625.300,9102358.600,25.20,ED,EDIFICACAO,ED02,3,"Edificação auxiliar"
29,289610.100,9102364.700,25.30,ED,EDIFICACAO,ED02,4,"Edificação auxiliar"
30,289578.900,9102363.720,25.02,TR,TRAVESSIA,,,"Travessia de acesso"
31,289583.600,9102355.220,24.72,TR,TRAVESSIA,,,"Travessia de acesso"
32,289640.000,9102390.000,25.95,XX,CODIGO_NAO_PADRONIZADO,,,"Registro para validação"
33,289650.000,9102400.000,,MC,MEIO_FIO,MC03,1,"Cota ausente para validação"
34,289650.000,9102400.000,26.10,MC,MEIO_FIO,MC03,2,"Coordenada repetida para validação"
35,289543.125,9102345.521,24.32,GCP,PONTO_CONTROLE,,,"ID e coordenada duplicados para validação"
